sentence1,sentence2,label
د کرملین ویاند : روسیه په اوکراین کې د نورو سیمو د الحاق پلان نه لري.,کرملین ویاند : که اوکراین وغواړي دا روانه جګړه سبا ختمیدلی شي,P
د روسیې یو پوځي موټر په دونیتڅک کې د مساپروړونکي بس موټر سره جنګیدلی دی,د روسیې تر کنټرول لاندې د دونیتڅک په سیمه کې د روسیې د پوځ یو موټر له یوه مساپر وړونکي کوچني بس موټر سره د ټکر له امله ۱۶ تنو خپل ژوند له لاسه ورکړ او ۳ نور ټپیان شول.,P
"د روسیې ولسمشر ولادیمیر پوتین ویلي، د اټومي جګړې ګواښ مخ په زیاتېدو دی.","پوتین : ""روسیه به لومړی هیواد نه شي چې اټومي وسلې وکاروي، او که لومړی نوي دویم به هم نشي. """,P
د جرمني د کورنیو چارو وزیره : په جرمني کې مسلمانانو د نورو په پرتله دوه برابره د تبعیض ښکار دي,"د جرمني د کورنیو چارو وزیرې نانسي فایسر وویل ، چې هره ورځ یې په هېواد کې د نژادي تبعیض پېښې رامنځته کېږي، خو مسلمانان بیا د نورو په پرتله دوه چنده زیات له نژادي تبعیض سره مخ دي.",P
د جرمني د کورنیو چارو وزیره : په جرمني کې مسلمانانو د نورو په پرتله دوه برابره د تبعیض ښکار دي,"د جرمني د کورنیو چارو وزیرې نانسي فایسر وویل ، چې هره ورځ یې په هېواد کې د نژادي تبعیض پېښې رامنځته کېږي، خو مسلمانان بیا د نورو په پرتله دوه چنده زیات له نژادي تبعیض سره مخ دي.",P
د امریکا د بهرنیو چارو وزارت ویاند : مونږ غواړو چې د تورکیې دفاعي اړتیاوې پوره کړو,د امریکا د بهرنیو چارو د وزارت ویاند نید پرائس وویل چې دوی د ناټو د یو مهم متحد هیواد تورکیې د دفاعي اړتیاوو پوره کولو ته چمتو دي .,P
په جرمني کې د یو ترهګریز سازمان پر خلاف د زرګونو تنو پولیسو په ګډون عملیات ترسره شول,په جرمني کې نن سهار په ټول هیواد کې په ترسره شوو عملیاتو کې ۲۵ تنه نیول شوي دي.,P
په کروشیا کې یوې میګ ۲۱ ډوله جنګي الوتکې سقوط وکړ.,د کروشیا یوې جنګي الوتکې سقوط وکړ,P
د روسیې او اوکراین ترمنځه یو ځل بیا د جنګي اسیرانو تبادله وشوه,د روسیې او اوکراین ترمنځ د بندیانو د تبادلې په په اړه د روانو مذاکراتو په نتیجه کې د دواړو خواوو نه ۱۲۰ تنه بندیان خوشې او خپلو هیوادونو ته وسپارل شول,P
امریکا په کال کې د ۳۰۰ نه تر ۸۰۰ تنو پورې روهینګیايي کډوالو ته پناه ورکوي,بنګله دیش اعلان کړی چې امریکا به پدې هیواد کې د میشتو روهینګیايي کډوالو د کمپ نه په کال کې د ۳۰۰ نه تر ۸۰۰ تنو پورې کډوال ومني.,P
د اوکراین ولسمشر زیلینسکي د جګړې د لومړۍ کرښې نه لیدنه وکړه,د اوکراین ولسمشر ولادیمیر زیلینسکي د دونیتڅک په سیمه کې چیرته چې د روسیې سره ډیره شدیده جګړه دوام لري د جګړې په لومړۍ کرښه کې د خپلو سرتیرو نه لیدنه وکړه.,P
روسیې دفاع وزیر د نوامبر په میاشت کې د اوکرایني ځواکونو ځاني تلفاتو شمیره اعلان کړه,"د روسیې دفاع وزیر سرګي شویګو ادعا کړې، چې د اوکراین پوځ په نوامبر میاشت کې تر ۸۳۰۰ ډېر سرتېري له لاسه ورکړي دي.",P
زیلینسکي : روسیې یواځې پرون پر اوکراین ۷۰ توغندیز بریدونه کړي,د اوکراین ولسمشر ولادیمیر زیلینسکي اعلان وکړ چې د ډسمبر په پنځمه د اوکراین پر مختلفو سیمو د روسیې د پوځ له خوا توغول شوي ۷۰ توغندي د اوکراین د ځواکونو له خوا شنډ او له منځه وړل شوي دي.,P
د میانمار په یوه کلي کې د ۱۳ تنو روهینګیايي مسلمانانو مړي موندل شوي دي.,په میانمار کې د مسلمانانو وژنې دوام لري,P
د جرمني لومړي وزیر اولاف شولز پر روسیې ډیرې سختې نیوکې وکړې.,د جرمني لومړي وزیر اولاف شولز د روسیې پر ولسمشر ولادیمیر پوتین سخته نیوکه وکړه او وویل چې « خپل هیواد د جدي ناڅرګندۍ سره مخامخ کړی دی,P
جرمني د اف ۳۵ ډوله جنګي الوتکو د رانیولو په برخه کې د ځینو ستونزو سره مخامخ دی,"جرمني چې د دفاعي لګښتونو لپاره ۱۰۰ میلیارده یورو ځانګړې بودیجه ځانګړې کړې ده، د اف ۳۵ ډول جنګي الوتکو په اخیستلو کې د ستونزو نه خبر ورکړی دی.",P
د روسيې او اوکراین د روانې جګړې د حل په اړه د ماکرون وروستیو څرګندونو یو ځل بیا غبرګونونه پارولي دي,"نړۍ د فرانسې د ولسمشر ماکرون د وروستیو څرګندونو په اړه بحث کوي. د فرانسې مشر، چې د خپلو پخوانیو څرګندونو وروسته په شا ګام اوچت کړی او د روسیې په اړه يي غوښتنې غبرګونونه پارولي وو.",P
روسیې یو نوی توغندی وازمایه.,روسیې یو مهم توغندی په بریالیتوب سره وازمایه,P
د روسیې یوې جنګي الوتکې سقوط وکړ.,د روسیې یوې «میګ-۳۱» ډوله جنګي الوتکه په پریمورسکي سیمه کې د روزنیزې الوتنې پر مهال سقوط کړی دی.,P
"په امریکا متحده ایالتونو کې، پر پوځ باندې د خلکو باور تر ۵۰ سلنې هم ټیټ شوی دی.",د افغانستان نه د امریکايي ځواکونو وتو پخپله په امریکا کې پر پوځ د خلکو د باور کچه ډیره زیاته راټیټه کړې ده,P
لیتوانیا د روسیې د سفارت یو تن ډیپلوماټ د نامطلوب شخص په توګه اعلان کړ.,لیتوانیا یو ځل بیا یو تن روس ډیپلوماټ د شړولو پریکړه وکړه,P
